trial,condition,onset_s,flow_duration_s,first_layer_success,completed,clogs
1,baseline,22,18,0,0,2
2,baseline,19,35,0,0,2
3,baseline,25,12,0,0,3
4,baseline,16,55,1,0,2
5,baseline,18,28,0,0,1
6,baseline,21,9,0,0,2
7,baseline,17,80,1,1,1
8,baseline,23,14,0,0,2
9,baseline,20,60,0,0,2
10,baseline,15,140,0,1,1
1,partial,12,75,1,0,1
2,partial,9,120,0,1,1
3,partial,10,90,1,0,1
4,partial,8,150,1,1,0
5,partial,11,45,0,0,1
6,partial,7,160,1,1,0
7,partial,9,70,0,0,1
8,partial,10,130,0,1,0
9,partial,8,95,1,1,1
10,partial,9,110,1,0,1
1,full,5,180,1,1,0
2,full,4,200,1,1,0
3,full,3,160,1,1,0
4,full,6,190,1,1,0
5,full,4,210,1,1,0
6,full,5,170,1,1,0
7,full,3,155,1,0,1
8,full,4,195,1,1,0
9,full,5,205,1,1,0
10,full,4,175,1,1,0
